text@avp1974m	@avp1974m	0.0	1.41	но я могу чо-то путать //
text@avp1974m	@avp1974m	1.88	4.02	но точно не Путин // #вздыхает# //
text@avp1974m	@avp1974m	4.78	13.16	но это знаешь / это такая / Парфенов в свое время тоже получил какую-то награду / и говорил Лесину / они еще тогда дружили / он говорит вы конечно блин //
text@avp1974m	@avp1974m	13.21	16.42	вам дали / вы взяли свои государства и у вас есть цацки и вы ими играете //
text@avp1974m	@avp1974m	16.42	18.83	а это между прочем люди кровь проливали за награды //
text@avp1974m	@avp1974m	18.83	19.16	#смеется# //
text@avp1974m	@avp1974m	19.235	21.77	вот как-то очень по делу было сказано //
text@avp1974m	@avp1974m	21.77	23.34	но мне неловко #нрзб# //
text@avp1974m	@avp1974m	23.4	25.14	но не отказываться же //
text@avp1974m	@avp1974m	25.17	29.38	сейчас же / ну тоесть / Дудь спрашивал тоже самое у #нрзб# #одновременно# //
text@avp1974m	@avp1974m	29.395	30.675	да / вот / тоже самое //
text@avp1974m	@avp1974m	30.98	35.25	Лошак он всегда / аа / был в каких-то отъездах //
text@avp1974m	@avp1974m	35.25	39.66	всегда все / значит / не в те / поэтому / значит / в этой истории не участвовал //
text@avp1974m	@avp1974m	39.66	41.81	но этот / медаль у него тоже где-то есть //
text@avp1974m	@avp1974m	41.825	43.035	и у меня она есть //
text@avp1974m	@avp1974m	46.725	48.62	#задумался# //
text@avp1974m	@avp1974m	48.62	50.08	да // за что
text@avp1974m	@avp1974m	55.42	58.96	но раз ты это нагуглила значит это есть / но я это ей богу забыл //
text@avp1974m	@avp1974m	58.96	59.3	#смеется # //
text@avp1974m	@avp1974m	59.33	60.24	правда //
text@avp1974m	@avp1974m	60.275	61.035	#нрзб# //
text@avp1974m	@avp1974m	70.73	75.92	
text@avp1974m	@avp1974m	77.715	78.375	ну конечно //
text@avp1974m	@avp1974m	78.72	91.34	я как журналист федерального канала сталкиваюсь / регулярно / с ограничениями / которые не позволяют мне // эээ // в полной мере выполнять свои профессиоальные обязанности / конкурировать с тем же дождем / эээ //
text@avp1974m	@avp1974m	91.67	95.67	ограничения эти связаны с тем что принять называть политической целесобразностью //
text@avp1974m	@avp1974m	95.7	101.08	знаете / не время сейчас #нрзб# // хотелось бы узнать как вы относитесь к этой ситуации Дмитрий Анатолич //
text@avp1974m	@avp1974m	107.59	112.13	было решено что Дмитрий Анатольевич достаточно либеральный чтобы ответить на такие вопросы //
text@avp1974m	@avp1974m	115.43	123.36	нет / ну / как как это есть такой лукавый эфемизм к которому все время прибегают люди / находящиеся в этой ситуации / аэа //
text@avp1974m	@avp1974m	123.68	126.76	мы согласовали темы но не формулировки вопросов //
text@avp1974m	@avp1974m	126.965	127.64	#вздыхает# //
text@avp1974m	@avp1974m	127.64	134.28	ээ // я уже не нахожусь в той ситуации поэтому / скажу что и формулировки вопросов вообщем  были примерно согласованы всегда //
text@avp1974m	@avp1974m	134.36	141.85	более того я тебе скажу что когда ты берешь интервью / у  президента / любой страны / то всегда  плюс минус это  и будет //
text@avp1974m	@avp1974m	141.85	145.35	всегда у тебя / всегда ты согласуешь то чо ты будешь спрашивать //
text@avp1974m	@avp1974m	147.935	149.635	можно //  можно //
text@avp1974m	@avp1974m	150.385	151.635	но никто так не делает //
text@avp1974m	@avp1974m	152.96	160.48	я думаю потому что журналисты которые уже доросли до того что их // аа // допускают к телу президента брать интервью / они уже //
